de,zh,example,image,hint
essen (+A),吃,Wir essen heute sehr spät zu Abend.,,动词 +Akk.
das Brötchen,小面包,Zum Frühstück esse ich ein Brötchen mit Butter.,,"名词, 中性; 复数: Brötchen"
die Butter,黄油,Sie streicht Butter auf das Brot.,,"名词, 阴性"
das Mineralwasser,矿泉水,Zum Essen trinke ich Mineralwasser.,,"名词, 中性"
der Orangensaft,橙汁,Ich bestelle einen Orangensaft.,,"名词, 阳性; 复数: Orangensäfte"
das Müsli,混合麦片,Müsli mit Milch ist gesund.,,"名词, 中性"
die Serviette,餐巾,Gib mir bitte eine Serviette.,,"名词, 阴性; 复数: Servietten"
das Geschirr,餐具（盛食物用的器皿）,Das Geschirr steht in der Küche.,,"名词, 中性（集合名词）"
das Besteck,餐具（刀叉勺）,Im Restaurant liegt das Besteck rechts und links vom Teller.,,"名词, 中性（集合名词）"
das Messer,刀,Schneide die Tomaten mit dem Messer.,,"名词, 中性; 复数: Messer"
die Gabel,叉子,Er isst den Salat mit der Gabel.,,"名词, 阴性; 复数: Gabeln"
der Löffel,勺子,Für die Suppe brauche ich einen Löffel.,,"名词, 阳性; 复数: Löffel"
die Essstäbchen,筷子,In dem asiatischen Restaurant isst man mit Essstäbchen.,,"名词, 复数"
die Schale,碗,Die Suppe ist in einer Schale.,,"名词, 阴性; 复数: Schalen"
das Schälchen,小碗,Das Dessert kommt in kleinen Schälchen.,,"名词, 中性; 复数: Schälchen"
der Mantou,馒头,Zum Frühstück gibt es Mantou.,,"外来词, 阳性"
die Baozi,包子,In China isst man oft Baozi zum Frühstück.,,"外来词, 复数用法常见"
der Reisbrei,米粥,Kranke essen gern warmen Reisbrei.,,"名词, 阳性"
das Salzgemüse,咸菜（酸菜）,Reisbrei mit Salzgemüse schmeckt mild.,,"名词, 中性; 借词表达"
das Problem,问题,Wir haben ein Problem mit dem Mittagessen.,,"名词, 中性; 复数: Probleme"
die Liebe,爱,Liebe geht auch durch den Magen.,,"名词, 阴性"
der Magen,胃,Ich habe heute Magenprobleme.,,"名词, 阳性"
das Frühstück,早餐,Frühstück ist meine liebste Mahlzeit.,,"名词, 中性"
frühstücken,吃早饭,Wir frühstücken um sieben.,,动词
mittagessen / zu Mittag essen,吃午饭,Ich esse um zwölf Uhr zu Mittag.,,不分离/固定搭配
eben,正是；恰恰,Das ist eben mein Problem.,,副词
nichts,什么也没有,Zum Frühstück esse ich manchmal nichts.,,代词
rauchen (+A),吸烟,Er raucht nach dem Essen eine Zigarette.,,动词 +Akk.
die Zigarette,香烟,Zigaretten sind ungesund und teuer.,,"名词, 阴性"
gesund / ungesund,健康的 / 不健康的,"Gemüse ist gesund, zu viel Fett ist ungesund.",,形容词
wollen,愿意，要,Ich will heute selbst kochen.,,情态动词
die Medizinstudentin,医科女学生,Die Medizinstudentin erklärt die Diät.,,"名词, 阴性"
der Prinz,王子,Der Prinz isst gern Süßes.,,"名词, 阳性"
der Mittag,中午,Gegen Mittag habe ich Hunger.,,"名词, 阳性"
der Bürger,公民,Als Bürger achtet man auf die Gesundheit.,,"名词, 阳性"
der Bettler,乞丐,Der Bettler bittet um ein Brot.,,"名词, 阳性"
das Wurstbrot,夹香肠面包,Ich nehme ein Wurstbrot mit.,,"名词, 中性"
das Käsebrot,夹乳酪面包,Zum Abend esse ich ein Käsebrot.,,"名词, 中性"
der/das Joghurt,酸奶,Zum Frühstück esse ich Joghurt mit Obst.,,"名词, 阳性/中性"
satt,吃饱的,Nach der Suppe bin ich satt.,,形容词
die Hauptmahlzeit,正餐,Die Hauptmahlzeit ist am Abend.,,"名词, 阴性"
warm,热的,Ich esse mittags gern etwas Warmes.,,形容词
das Abendessen,晚餐,Zum Abendessen gibt es Reis und Gemüse.,,"名词, 中性"
mit/gehen,同去，同行,Kommst du mit ins Restaurant?,,可分动词
sollen,应该,Du sollst mehr Wasser trinken.,,情态动词
schmecken (+D),有味道；好吃,Die Suppe schmeckt mir gut.,,动词 +Dativ
am besten,最好,Am besten essen wir heute leicht.,,副词最高级
normal,正常的；平常的,Ich stehe zur normalen Zeit auf.,,形容词
zusammen/stellen (+A),制定，编制,Sie stellt einen Speiseplan zusammen.,,可分动词 +Akk.
aus/sehen +Adj.,显得，看上去,Der Salat sieht lecker aus.,,可分动词
