de,zh,example,image,hint
null,0,Er hat null Punkte.,,Zahlwort（数词）
eins,1,Ich bin 1 Jahre alt.,,Zahlwort（数词）
zwei,2,Ich bin 2 Jahre alt.,,Zahlwort（数词）
drei,3,Ich bin 3 Jahre alt.,,Zahlwort（数词）
vier,4,Ich bin 4 Jahre alt.,,Zahlwort（数词）
fünf,5,Ich bin 5 Jahre alt.,,Zahlwort（数词）
sechs,6,Ich bin 6 Jahre alt.,,Zahlwort（数词）
sieben,7,Ich bin 7 Jahre alt.,,Zahlwort（数词）
acht,8,Ich bin 8 Jahre alt.,,Zahlwort（数词）
neun,9,Ich bin 9 Jahre alt.,,Zahlwort（数词）
zehn,10,Ich bin 10 Jahre alt.,,Zahlwort（数词）
elf,11,Ich bin 11 Jahre alt.,,Zahlwort（数词）
zwölf,12,Ich bin 12 Jahre alt.,,Zahlwort（数词）
dreizehn,13,Ich bin 13 Jahre alt.,,Zahlwort（数词）
vierzehn,14,Ich bin 14 Jahre alt.,,Zahlwort（数词）
fünfzehn,15,Ich bin 15 Jahre alt.,,Zahlwort（数词）
sechzehn,16,Ich bin 16 Jahre alt.,,Zahlwort（数词）
siebzehn,17,Ich bin 17 Jahre alt.,,Zahlwort（数词）
achtzehn,18,Ich bin 18 Jahre alt.,,Zahlwort（数词）
neunzehn,19,Ich bin 19 Jahre alt.,,Zahlwort（数词）
zwanzig,20,Ich bin 20 Jahre alt.,,Zahlwort（数词）
einundzwanzig,21,Ich bin 21 Jahre alt.,,Zahlwort（数词）
zweiundzwanzig,22,Ich bin 22 Jahre alt.,,Zahlwort（数词）
dreiundzwanzig,23,Ich bin 23 Jahre alt.,,Zahlwort（数词）
vierundzwanzig,24,Ich bin 24 Jahre alt.,,Zahlwort（数词）
fünfundzwanzig,25,Ich bin 25 Jahre alt.,,Zahlwort（数词）
sechsundzwanzig,26,Ich bin 26 Jahre alt.,,Zahlwort（数词）
siebenundzwanzig,27,Ich bin 27 Jahre alt.,,Zahlwort（数词）
achtundzwanzig,28,Ich bin 28 Jahre alt.,,Zahlwort（数词）
neunundzwanzig,29,Ich bin 29 Jahre alt.,,Zahlwort（数词）
dreißig,30,Ich bin 30 Jahre alt.,,Zahlwort（数词）
einunddreißig,31,Ich bin 31 Jahre alt.,,Zahlwort（数词）
zweiunddreißig,32,Ich bin 32 Jahre alt.,,Zahlwort（数词）
vierzig,40,Ich bin 40 Jahre alt.,,Zahlwort（数词）
fünfzig,50,Ich bin 50 Jahre alt.,,Zahlwort（数词）
sechzig,60,Ich bin 60 Jahre alt.,,Zahlwort（数词）
siebzig,70,Ich bin 70 Jahre alt.,,Zahlwort（数词）
achtzig,80,Ich bin 80 Jahre alt.,,Zahlwort（数词）
neunzig,90,Ich bin 90 Jahre alt.,,Zahlwort（数词）
(ein)hundert,100,Ich bin 100 Jahre alt.,,Zahlwort（数词）
